nizaofanxiangchibaozihaishiyoutiao	你早饭想吃包子还是油条
didibazuoyebenluozaixuexiaole	弟弟把作业本落在学校了
nainaidundejitangzhenxian	奶奶炖的鸡汤真鲜
nishoutaozenmezhishengyizhile	你手套怎么只剩一只了
xiwandeshihoushuibiekaitaida	洗碗的时候水别开太大
bangwokanyixiakuaididaonale	帮我看一下快递到哪了
meimeifashaoledeiquyiyuan	妹妹发烧了得去医院
niwaitaoshangzhanlehaoduohui	你外套上沾了好多灰
jintiandemifanzhudeyoudianying	今天的米饭煮得有点硬
yeyemeitianzaoshangdouqugongyuandaquan	爷爷每天早上都去公园打拳
nibeizizenmeyoumeidie	你被子怎么又没叠
chufangdechouyouyanjigaixile	厨房的抽油烟机该洗了
mamazhideweijintebienuanhuo	妈妈织的围巾特别暖和
nizenmebaxiuzinongshile	你怎么把袖子弄湿了
laolaojiadeyuanzilizhongleputao	姥姥家的院子里种了葡萄
didideruyadiaoleyike	弟弟的乳牙掉了一颗
bayaoanshichilebiewangle	把药按时吃了别忘了
nitaidengyizhiliangzhene	你台灯一直亮着呢
louxiadeguihuakaidezhengxiang	楼下的桂花开得正香
zanmenwanshangbaohuntunchiba	咱们晚上包馄饨吃吧
nichongdianbaojiewoyitian	你充电宝借我一天
meimeixuehuizijijixiedaile	妹妹学会自己系鞋带了
yangtaishangliangdebeidanganle	阳台上晾的被单干了
nizenmebayaoshisuowulile	你怎么把钥匙锁屋里了
jintiandeyuzuodebuxing	今天的鱼做得不腥
babadelaohuajingdushuyoushenle	爸爸的老花镜度数又深了
badisaolezaituoyibian	把地扫了再拖一遍
niqiaoqiaogeiwomaileshengridangao	你悄悄给我买了生日蛋糕
diditiqiubakuzimopole	弟弟踢球把裤子磨破了
gugujiadehaizimanyuele	姑姑家的孩子满月了
nibayagaojitaiduole	你把牙膏挤太多了
reshuidaifangzaibeiwolile	热水袋放在被窝里了
mamalaodaoshiyinweiguanxinni	妈妈唠叨是因为关心你
nixiukoudekouzisongle	你袖口的扣子松了
zhoumohuilaojiakanyeyenainai	周末回老家看爷爷奶奶
baxihongshiqiehaofangpanzili	把西红柿切好放盘子里
nishoujipingmushuailiele	你手机屏幕摔裂了
meimeidebianzishilaolaobiande	妹妹的辫子是姥姥编的
zaoshanghaidunzheroubiechumen	灶上还炖着肉别出门
niyanjinghonghongdemeishuihaoba	你眼睛红红的没睡好吧
zhegeyuededianfeibishangyueduole	这个月的电费比上月多了
diditoutoubaqingjiaotiaochuqule	弟弟偷偷把青椒挑出去了
nituoxiechuanfanle	你拖鞋穿反了
guizidingshangdexiangzigoubuzhe	柜子顶上的箱子够不着
yusuanbiaogejintianxiabanqianyaojiao	预算表格今天下班前要交
xinfanganzaizhouhuishangguoleyibian	新方案在周会上过了一遍
nibakehudeyoujianzhuangeiwo	你把客户的邮件转给我
shixishengdezhuanzhengdabianzaixiazhou	实习生的转正答辩在下周
zhegebaojiadanshaosuanleyunfei	这个报价单少算了运费
bumenlihuigaidaomingtianshangwushidian	部门例会改到明天上午十点
chuchaishenqinglingdaohaimeipi	出差申请领导还没批
hetonggaiwanzhangjigeiduifangle	合同盖完章寄给对方了
nizuodetubiaobishangciqingxiduole	你做的图表比上次清晰多了
xiangmuyanqideyuanyinyaoxieqingchu	项目延期的原因要写清楚
mianshidehouxuanrenlinshifanglegezi	面试的候选人临时放了鸽子
zhegejidudehuikuanqingkuangbucuo	这个季度的回款情况不错
xingzhengtongzhimingtiantongyilinggongweipai	行政通知明天统一领工位牌
huibaodeshihoushaoniangaoziduojiangzhongdian	汇报的时候少念稿子多讲重点
jixiaomiantananpaizaizhezhouwu	绩效面谈安排在这周五
gongyingshangnabiantongyijiangjiale	供应商那边同意降价了
baqianhaodewenjiansaomiaocundang	把签好的文件扫描存档
xintongshiduiyewuhaibutaishu	新同事对业务还不太熟
jinniandezhaopinmingekanleyiban	今年的招聘名额砍了一半
zhegekehudexuqiubianlaibianqu	这个客户的需求变来变去
huiyijiyaojinwanfachulai	会议纪要今晚发出来
peixundekejiannizuowanlema	培训的课件你做完了吗
cangkudekucunshujuduibushang	仓库的库存数据对不上
kuabumenxiezuoyaotiqiandazhaohu	跨部门协作要提前打招呼
nifuzedenayejiaopianzaigaigai	你负责的那页胶片再改改
fabanchuangkoudingzaizhousilingchen	发版窗口定在周四凌晨
zhegejiekoudechaoshishijiansheduanle	这个接口的超时时间设短了
ceshiyonglihaichabianjiechangjing	测试用例还差边界场景
huidufangliangxiankaibaifenzhiwu	灰度放量先开百分之五
daimalidemofashuziyaotichengchangliang	代码里的魔法数字要提成常量
rizhijibiexianshangbiekaichengtiaoshi	日志级别线上别开成调试
zheciguzhangdegenyinshipeizhipiaoyi	这次故障的根因是配置漂移
shujuqianyijiaobenyaoxianzaiyufayanzheng	数据迁移脚本要先在预发验证
duiliexiaofeisudugenbushangshengchan	队列消费速度跟不上生产
zhegehanshudecanshutaiduolegaichai	这个函数的参数太多了该拆
lianluzhuizongkandaopingjingzaixiayou	链路追踪看到瓶颈在下游
huancunjichuanbashujukudaguale	缓存击穿把数据库打挂了
huigunyuanyaotiqianyanlianyici	回滚预案要提前演练一次
jiankonggaojingdeyuzhitiaokuanlexie	监控告警的阈值调宽了些
xinkuangjiadexuexichengbenyoudiangao	新框架的学习成本有点高
paichabantianyuanlaishishizhongbutongbu	排查半天原来是时钟不同步
dancelibuyaolianzhenshishujuku	单测里不要连真实数据库
xuqiuwendanglideliuchengtuguoshile	需求文档里的流程图过时了
shuangjifangqiehuanyanlianhenshunli	双机房切换演练很顺利
zhegebianliangmingmingtaisuiyile	这个变量命名太随意了
lingchendedingshirenwuyoupaoshibaile	凌晨的定时任务又跑失败了
shangxianjianchadanyixiangdoubunenglou	上线检查单一项都不能漏
xingnengyouhuahoushoupingkuaileyimiao	性能优化后首屏快了一秒
qichenianjianxiageyuejiudaoqile	汽车年检下个月就到期了
gaosufuwuqudechongdianzhuangquanmanle	高速服务区的充电桩全满了
dachequgaotiezhanyaosishifenzhong	打车去高铁站要四十分钟
zhetiaojiedanxingxianbiekaijinqu	这条街单行线别开进去
feijiyanwugaiqiandaowanshangbadian	飞机延误改签到晚上八点
gongxiangchongdianbaoyixiaoshisikuaiqian	共享充电宝一小时四块钱
jingqutingchechangshifenzhongyiweinanqiu	景区停车场十分钟一位难求
zuolunchuanqudaoshangyaolianggexiaoshi	坐轮船去岛上要两个小时
fanchengdepiaobiquchengguileyibei	返程的票比去程贵了一倍
qidiandongchejidedaitoukui	骑电动车记得戴头盔
suidaolixinhaoduanduanxuxude	隧道里信号断断续续的
quguzhendelushangquanshichayuan	去古镇的路上全是茶园
jiudiandezaocandaojiudianbanjieshu	酒店的早餐到九点半结束
pashanchuanyundongxiebiechuanliangxie	爬山穿运动鞋别穿凉鞋
houcheshidechazuodoubeizhanle	候车室的插座都被占了
zijiayoudeluxianniguihuahaolema	自驾游的路线你规划好了吗
chuzhankouwangzuozoushigongjiaoshuniu	出站口往左走是公交枢纽
zheduanpanshanluyigongshibagewan	这段盘山路一共十八个弯
shiquxiansuwushibiechaole	市区限速五十别超了
luyingdezhangpengjienimenyiding	露营的帐篷借你们一顶
yebangongjiaobanxiaoshicaiyitang	夜班公交半小时才一趟
dukoudemobanchuanliudiankai	渡口的末班船六点开
xinglichaozhongledeibutuoyunfei	行李超重了得补托运费
qiaoshangducheraojiangbianzougengkuai	桥上堵车绕江边走更快
jiamanyixiangyouyouzhangleershikuai	加满一箱油又涨了二十块
guyuqianhouzhengshicaichadeshijie	谷雨前后正是采茶的时节
yichangqiuyuyichanghan	一场秋雨一场寒
wuyanxiadebinglinghualeyidishui	屋檐下的冰凌化了一地水
taohuaxunlaileheshuizhanglebushao	桃花汛来了河水涨了不少
sanfutiandewuhoumendechuanbuguoqi	三伏天的午后闷得喘不过气
shuangjiangzhihoushizicaitian	霜降之后柿子才甜
beifengyiqiluweidangbaichengyipian	北风一起芦苇荡白成一片
xiyubaqingshibanluxidefaliang	细雨把青石板路洗得发亮
dashuzhejitianlianfengdoushirede	大暑这几天连风都是热的
layuelijiajiahuhumangzhebeinianhuo	腊月里家家户户忙着备年货
jingleiyishengchunsunpotu	惊雷一声春笋破土
wanxiabajiangmianranchenglejuhongse	晚霞把江面染成了橘红色
xiaomanshijiemaiziguanjiangzhengmang	小满时节麦子灌浆正忙
nongwusanquyuanshanluchulunkuo	浓雾散去远山露出轮廓
shujiuhantianhemiandongdejieshi	数九寒天河面冻得结实
shizhengbumenjiakuaituijinlaojiuxiaoqugaizao	市政部门加快推进老旧小区改造
xinguiduiwangluopingtaimingquelezhutizeren	新规对网络平台明确了主体责任
benjieluntanjujiaolvseditanzhuanxing	本届论坛聚焦绿色低碳转型
tiaojiejizhiyouxiaohuajielelinlijiufen	调解机制有效化解了邻里纠纷
wenlvronghedaidonglexiangcunxiaofeishengji	文旅融合带动了乡村消费升级
caoanjiangtijiaochangweihuiercishenyi	草案将提交常委会二次审议
haiguanchahuoyipiqinquanfangmaoshangpin	海关查获一批侵权仿冒商品
caizhengbutiexiangjicengyiliaoqingxie	财政补贴向基层医疗倾斜
zhaobiaogonggaozaiguanwangtongbufabu	招标公告在官网同步发布
duchazusuijichouchalesangexianqu	督查组随机抽查了三个县区
zhiyejinengpeixunfugailiangwanyuren	职业技能培训覆盖两万余人
hangdaoshujungongchengniandiqianwangong	航道疏浚工程年底前完工
shequshitangshidianhuodejuminhaoping	社区食堂试点获得居民好评
zhanguanrijunjiedaiguanzhongpowan	展馆日均接待观众破万
tanpaifangjiaoyishichangyunxingpingwen	碳排放交易市场运行平稳
